policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,target_violated_rule_ids,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"The title claimed multiple financial offers as ""free"" without disclosing any conditions or terms associated with these offers. For example: ""Free System, Free Quick start, Free member access."" To improve the ad, provide clear and accessible evidence for these claims or disclose any associated conditions.","[""4.3"", ""4.8""]",209904238,4036170114,http://cdn.taboola.com/libtrc/static/thumbnails/dd3eb7a9a36f57bc965089497f605e5f.jpg,Free 7 Dividend Stocks,(null),approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"The title claimed multiple financial offers as ""free"" without disclosing any conditions or terms associated with these offers. For example: ""Free System, Free Quick start, Free member access."" To improve the ad, provide clear and accessible evidence for these claims or disclose any associated conditions.","[""4.3"", ""4.8""]",199256601,3949690072,http://cdn.taboola.com/libtrc/static/thumbnails/2f0aba2c2aa98aec278d316a8a146837.jpeg,"UK Homeowners May Be Eligible For Free £1,500 Loft Insulation Voucher",(null),approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"The title claimed multiple financial offers as ""free"" without disclosing any conditions or terms associated with these offers. For example: ""Free System, Free Quick start, Free member access."" To improve the ad, provide clear and accessible evidence for these claims or disclose any associated conditions.","[""4.3"", ""4.8""]",209689311,4032876713,http://cdn.taboola.com/libtrc/static/thumbnails/7df252c961547303d57d75e207e02462.jpg,Seniors May Have Free Car Insurance If You Are Over 60,(null),approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"The title claimed multiple financial offers as ""free"" without disclosing any conditions or terms associated with these offers. For example: ""Free System, Free Quick start, Free member access."" To improve the ad, provide clear and accessible evidence for these claims or disclose any associated conditions.","[""4.3"", ""4.8""]",155902485,3749080224,http://cdn.taboola.com/libtrc/static/thumbnails/020290f58a578aaa243c28ca5d3d4ca6.jpeg,Necrotizing Enterocolitis (NEC) Diagnosis As a Child - Compensation is Possible,"Get a Free Consultation Regarding Your Case
",approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"The title claimed multiple financial offers as ""free"" without disclosing any conditions or terms associated with these offers. For example: ""Free System, Free Quick start, Free member access."" To improve the ad, provide clear and accessible evidence for these claims or disclose any associated conditions.","[""4.3"", ""4.8""]",203071425,3958678115,http://cdn.taboola.com/libtrc/static/thumbnails/d775a7e1e8d42caef43b48d592850c82.png,Many on Medicare still don't know this is available...,Free eligibility check many on Medicare need to try,approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"The title claimed multiple financial offers as ""free"" without disclosing any conditions or terms associated with these offers. For example: ""Free System, Free Quick start, Free member access."" To improve the ad, provide clear and accessible evidence for these claims or disclose any associated conditions.","[""4.3"", ""4.8""]",181092238,3906267419,http://c3.taboola.com/libtrc/static/thumbnails/so_auto/f_jpg/v1707913143/vatvpdd1nibhnzggyaf3.jpg,Homeowners in ${city:capitalized}$ benefiting from the free heating systems ,Free solar panels included as part of new Government scheme for off-grid homes across the UK,rejected,TITLE_EXAGGERATED_CLAIM,Claimed The Product/Service Was Free Without Disclosing The Conditions,"We found the title misrepresented the product/service or content in the ad. The title:

• Claimed the product/service was free without disclosing the conditions.

For example: Free solar panels.

To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made. "
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"The title claimed multiple financial offers as ""free"" without disclosing any conditions or terms associated with these offers. For example: ""Free System, Free Quick start, Free member access."" To improve the ad, provide clear and accessible evidence for these claims or disclose any associated conditions.","[""4.3"", ""4.8""]",138645376,3678570904,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/DV/1207391933__osoJyowP.jpg,Discover a Quick and Easy Way to Start Becoming Financially Free,"If You don't Sacrifice for what you want, what You want becomes the Sacrifice. Take Action!",rejected,TITLE_EXAGGERATED_CLAIM,Claimed Users Could Get Rich Or Achieve Financial Freedom,"We found the title misrepresented the product/service or content in the ad. The title: 
Claimed users could get rich or achieve financial freedom.
For example: Discover a Quick and Easy Way to Start Becoming Financially Free
To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made."
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"The title claimed multiple financial offers as ""free"" without disclosing any conditions or terms associated with these offers. For example: ""Free System, Free Quick start, Free member access."" To improve the ad, provide clear and accessible evidence for these claims or disclose any associated conditions.","[""4.3"", ""4.8""]",200178290,3952167807,http://cdn.taboola.com/libtrc/static/thumbnails/STABLE_DIFFUSION_BACKGROUND/ABR/95f54b85-c51e-4973-a948-927437ffbe36__KNzfQpO6.jpg,Expert: Funeral Is Free If You Do This,(null),rejected,TITLE_EXAGGERATED_CLAIM,Claimed The Product/Service Was Free Without Disclosing The Conditions,"We found the title misrepresented the product/service or content in the ad. The title:

• Claimed the product/service was free without disclosing the conditions.

For example: Expert: Funeral Is Free If You Do This.

To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made. "
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"The title claimed multiple financial offers as ""free"" without disclosing any conditions or terms associated with these offers. For example: ""Free System, Free Quick start, Free member access."" To improve the ad, provide clear and accessible evidence for these claims or disclose any associated conditions.","[""4.3"", ""4.8""]",207181711,3988249197,http://cdn.taboola.com/libtrc/static/thumbnails/IMAGE_UPSCALER/EIU/8db9d06b-64c7-42bf-88f5-8d21ad81263e__n5sCcR9K.jpg,How To Claim Dogs airdrop: ($DOGS) Earn Free Crypto,Crypto enthusiasts are loving DOGS’ easy airdrop Free Money . Join the fun ,rejected,TITLE_MISLEADING_FREE_CLAIMS,Claims The Product/Service Is Free Without Disclosing The Conditions.,How To Claim Dogs airdrop: ($DOGS) Earn Free Crypto       
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"The title claimed multiple financial offers as ""free"" without disclosing any conditions or terms associated with these offers. For example: ""Free System, Free Quick start, Free member access."" To improve the ad, provide clear and accessible evidence for these claims or disclose any associated conditions.","[""4.3"", ""4.8""]",181092233,3906267451,http://c3.taboola.com/libtrc/static/thumbnails/so_auto/f_jpg/v1707913143/vatvpdd1nibhnzggyaf3.jpg,${region:capitalized}$: Free Heating system for benefit recipient,Free solar panels included as part of new Government scheme for off-grid homes across the UK,rejected,TITLE_EXAGGERATED_CLAIM,Claimed The Product/Service Was Free Without Disclosing The Conditions,"We found the title misrepresented the product/service or content in the ad. The title:

• Claimed the product/service was free without disclosing the conditions.

For example: Free solar panels.

To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made. "
Finance Claims,185555644,3916516262,http://cdn.taboola.com/libtrc/static/thumbnails/a9a8bfa92037cc653f60641566d4e924.jpg,People Aged 80-50 Are Due a Large Surprise This Month,(null),rejected,rejected,"The title ""People Aged 80-50 Are Due a Large Surprise This Month"" makes an exaggerated claim without substantiation, potentially misleading users into believing they are entitled to a financial benefit without providing evidence or qualifiers.","[""4.1"", ""4.4""]",204832620,3964786461,http://cdn.taboola.com/libtrc/static/thumbnails/8e2e9af679973dd98f8c9fef29247f3e.png,Homeowners Born 1997 Are Due a Large Surprise (See List),(null),approved,(null),(null),(null)
Finance Claims,185555644,3916516262,http://cdn.taboola.com/libtrc/static/thumbnails/a9a8bfa92037cc653f60641566d4e924.jpg,People Aged 80-50 Are Due a Large Surprise This Month,(null),rejected,rejected,"The title ""People Aged 80-50 Are Due a Large Surprise This Month"" makes an exaggerated claim without substantiation, potentially misleading users into believing they are entitled to a financial benefit without providing evidence or qualifiers.","[""4.1"", ""4.4""]",197340249,3940159788,http://cdn.taboola.com/libtrc/static/thumbnails/6a044c337e112cf2267441eb1dffb8ac.jpeg,Medicare Recipients Are Due A Huge Surprise (Check Now),People on Medicare Are Claiming This Benefit (Check Today),approved,(null),(null),(null)
