policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),209956451,4038142955,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/FKF/1308700740__5ESHaqsC.jpg,Why UK Social Housing Works,"In uncertain times, UK social housing is a reliable investment. Secure your future now.",approved,(null),(null),(null)
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),209158108,4030804545,http://cdn.taboola.com/libtrc/static/thumbnails/7f9081fffab21e4506944f22760093f4.png,No joke: This Is How Much Homeowners Pay For A Will In 2023,Government research indicates that a staggering proportion of the UK’s population has not taken the step to have a Will. Safeguard your estate for your future generations by drafting your Will today.,approved,(null),(null),(null)
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),209133118,4030607687,http://cdn.taboola.com/libtrc/static/thumbnails/STABLE_DIFFUSION_OUTCROP/ESD/f3c3319f-2447-4c14-ab02-f34e25e13c1e__pxy8MPrc.jpg,PAYE Employees get €628.04 on average when eligible for a Tax Refund,(null),approved,(null),(null),(null)
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),147857182,3707406101,http://cdn.taboola.com/libtrc/static/thumbnails/ec0e3ab7d9d8c991276501eed85f93cf.jpg,Born between 1970 - 1990? Check eligibility for ₹1 Cr term plan**,(null),approved,(null),(null),(null)
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),198485709,3948413478,http://cdn.taboola.com/libtrc/static/thumbnails/STABLE_DIFFUSION_OUTCROP/ESD/a43c7588-6a44-46e9-b331-630b5d54e3bd__531viT6l.jpg,Housing Association or Council Housing Tenant? You Could Be Eligible For Compensation,Housing association and council house tenants could be eligible for £1000s in compensation for housing disrepair. Check if you are eligible here!,approved,(null),(null),(null)
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),142502481,3691941357,http://cdn.taboola.com/libtrc/static/thumbnails/30eb156e3b48ba9eb39634b38b853e65.jpg,Australians Are Surprised With Hugh's News,Secure your future with this,rejected,TITLE_CONTENT_MISMATCH,"Did Not Relate To Either The Thumbnail Image, The Content On The Landing Page Or The Product/Service Advertised","We found the title misrepresented the product/service or content in the ad. The title:
Did not relate to either the thumbnail image, the content on the landing page or the product/service advertised.

For example: Misleading ""Everyone Are Surprised With Hugh's News""

To improve your title, consider rewriting it or replacing it with one that better matches the rest of the ad."
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),174377960,3891212486,http://cdn.taboola.com/libtrc/static/thumbnails/cd1a9671df43aef761cca431ec430863.jpg,"Three Banks in ${region:capitalized}$ Giving Away $5,000 In Credit With Instant Approval",(null),rejected,TITLE_EXAGGERATED_CLAIM,Made Guarantees Or Promises,"We found the title misrepresented the product/service or content in the ad. The title:

• Made guarantees or promises.

For example: Giving Away $5,000.

To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.
"
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),203149028,3955566053,http://cdn.taboola.com/libtrc/static/thumbnails/IMAGE_UPSCALER/EIU/79593f8c-ff2f-490e-938c-9e9abef1e94a__gSQ7rKJp.jpg,Demystifying Commercial Auto Insurance - BLOG INFO,"That's where commercial auto insurance comes in. In this article, we'll delve into the intricacies of commercial auto insurance, exploring the essential",rejected,THUMBNAIL_CONTENT_MISMATCH,"Did Not Relate To Either The Title, The Content On The Landing Page Or The Product/Service Advertised","We found the thumbnail image misrepresented the product/service or content in the funnel. The thumbnail image:

• Did not relate to either the title, the content on the landing page or the product/service advertised.


To improve your thumbnail image, consider replacing it with one that better matches the rest of the ad."
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),130147083,3600918896,http://cdn.taboola.com/libtrc/static/thumbnails/ac1ff327344dd8f6b97a3e4757e1f2bf.png,${region:capitalized}$: Say Bye To Your Car Insurance If You Live In These Zip Codes ,(null),rejected,TITLE_CONTENT_MISMATCH,Capitalized}$: Say Bye To Your Car Insurance If You Live In These Zip Codes  Which Creates The Wrong User Expectations Of The Product/Service,"We found the title misrepresented the product/service or content in the funnel. The title is mentioning:
${region:capitalized}$: Say Bye To Your Car Insurance If You Live In These Zip Codes  which creates the wrong user expectations of the product/service. -Misleading title
Please amend the problematic title and resubmit."
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),208946682,4030203019,http://cdn.taboola.com/libtrc/static/thumbnails/9843c731b58388027cc7712a403a83b7.jpg,No Credit Check Credit Cards in Canada: Instant Approval May Surprise You,(null),rejected,TITLE_INACCURATE_INFORMATION,Contains Inaccurate Information.,No Credit Check
