policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),149843922,3718404866,http://cdn.taboola.com/libtrc/static/thumbnails/1afd370e60d1fa1c22d2bbd11c3063f0.png,Your Second Chance to Play a Lithium Boom,We reveal three stocks that could profit from a lithium boom.,approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),151650442,3697173131,http://cdn.taboola.com/libtrc/static/thumbnails/120e3fa18ce899c3dd5c620aedc87c84.png,Three Stocks for the Next Aussie Mining Boom,We reveal three stocks for playing Aussie mining boom 2.0,approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),198716550,3948784500,http://cdn.taboola.com/libtrc/static/thumbnails/03e741641446336a38fbb84cf0370d66.jpg,Lithium Stock Trending,E3 Lithium set to thrive as this global leader ventures into the lithium market. Read more,approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),149490748,3717357522,http://cdn.taboola.com/libtrc/static/thumbnails/b0cfadd691891b986dfbac7aea6757db.png,Three Lithium Stocks with Potential to Boom This Year,"Adoption of electric vehicles (EVs) is predicted to explode by 500% in the next 10 years… 

And given lithium’s crucial role in EV batteries, our Money Morning experts believe the sector is on the cusp of a major run-up.",approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),198730005,3948782847,http://cdn.taboola.com/libtrc/static/thumbnails/e35d1700c20ecfe085f2b820e20007cf.png,Most Promising Lithium Stock,Latest market update spotlights a lithium stock that could be Canada's top producer. Learn more.,approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),194301475,3862093220,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/FKF/1416005842__J77IOS3e.jpg,"American Emergency Fund® | Get $5,000 in Financial Relief","Get up to $5,000 in Financial Relief as Fast as Tomorrow.",rejected,TITLE_EXAGGERATED_CLAIM,Made Negative Or Unverified Claims About Another Product Or Service,"We found the title misrepresented the product/service or content in the ad. The title:

• Made negative or unverified claims about another product or service.

For example: Get $5,000 in Financial Relief.

To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made. "
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),144298578,3697583767,http://cdn.taboola.com/libtrc/static/thumbnails/d94df6b122a302dc540f2d9d60bcc852.jpg,ABN Holders: Access Business Funds up to $500K,"Approval in as fast as 30 minutes and funding in as fast as 2 hours, 6 to 24 month terms and no upfront security, Only 6 months of business bank statements needed to apply.",rejected,THUMBNAIL_RIGHTS_VIOLATION,NO_MATCH,(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),133553052,3655096145,http://cdn.taboola.com/libtrc/static/thumbnails/ab4f2601e5b28a9a1247fdfa41e07965.jpg,Soaring Tesla Demand Is Breaking Out Lithium Investment,(null),rejected,THUMBNAIL_RIGHTS_VIOLATION,Used An Unverified Celebrity Endorsement,"We found the claims made in the thumbnail image either needed further permissions or made unverified endorsement claims. The thumbnail image: 

Used an unverified celebrity endorsement. 

For example: using Elon Musk's image.

To improve your thumbnail image, submit documentation verifying the details of it to Taboola's legal team or consider replacing it with one that uses more reasonable claims."
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),201206627,3953699557,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/ISE/1007845610__bW6VYjV5.jpg,Adobe Gains 15% Pre-Market : Time to Buy?,Get Full Stock Analysis,rejected,THUMBNAIL_RIGHTS_VIOLATION,Used An Unverified Brand Endorsement,"We found the claims made in the thumbnail image either needed further permissions or made unverified endorsement claims. The thumbnail image:

• Used an unverified brand endorsement.

For example: Unverified brand endorsement.

To improve your thumbnail image, submit documentation verifying the details of it to Taboola's legal team or consider replacing it with one that uses more reasonable claims. "
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),137920702,3676094345,http://cdn.taboola.com/libtrc/static/thumbnails/2f3a0c61cee02e9d8c7a6d4f0dfbe7ec.jpg,"Neil and Lucia did it, so can you.",Neil and Lucia are the parents of two teenage children who felt that they lacked the right strategy for their finances as well as their kids’ futures.,rejected,THUMBNAIL_RIGHTS_VIOLATION,Used An Unverified Brand Endorsement,"We found the claims made in the thumbnail image either needed further permissions or made unverified endorsement claims. The thumbnail image: 

Used an unverified brand endorsement.

For example: featured Apple's brand logo.

To improve your thumbnail image, submit documentation verifying the details of it to Taboola's legal team or consider replacing it with one that uses more reasonable claims."
