policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Claimed the product/service was free without disclosing the conditions. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",209904238,4036170114,http://cdn.taboola.com/libtrc/static/thumbnails/dd3eb7a9a36f57bc965089497f605e5f.jpg,Free 7 Dividend Stocks,(null),approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Claimed the product/service was free without disclosing the conditions. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",199256601,3949690072,http://cdn.taboola.com/libtrc/static/thumbnails/2f0aba2c2aa98aec278d316a8a146837.jpeg,"UK Homeowners May Be Eligible For Free £1,500 Loft Insulation Voucher",(null),approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Claimed the product/service was free without disclosing the conditions. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",209689311,4032876713,http://cdn.taboola.com/libtrc/static/thumbnails/7df252c961547303d57d75e207e02462.jpg,Seniors May Have Free Car Insurance If You Are Over 60,(null),approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Claimed the product/service was free without disclosing the conditions. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",155902485,3749080224,http://cdn.taboola.com/libtrc/static/thumbnails/020290f58a578aaa243c28ca5d3d4ca6.jpeg,Necrotizing Enterocolitis (NEC) Diagnosis As a Child - Compensation is Possible,"Get a Free Consultation Regarding Your Case
",approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Claimed the product/service was free without disclosing the conditions. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",203071425,3958678115,http://cdn.taboola.com/libtrc/static/thumbnails/d775a7e1e8d42caef43b48d592850c82.png,Many on Medicare still don't know this is available...,Free eligibility check many on Medicare need to try,approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Claimed the product/service was free without disclosing the conditions. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",209219143,4030897026,http://cdn.taboola.com/libtrc/static/thumbnails/de0112e1d751018e89c2c2d3ace40d00.jpg,Five Stocks Under $49 for 2024,The Next Amazon or Netflix? Motley Fool Presents 5 Free Growth Stock Picks.,approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Claimed the product/service was free without disclosing the conditions. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",138340992,3677626257,http://cdn.taboola.com/libtrc/static/thumbnails/af3761274fdc58ca96aa828252601765.jpeg,Claim Your Free Whisky Investor Guide ,"Up over 500% in the last decade, is whisky the perfect inflation hedge?",approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Claimed the product/service was free without disclosing the conditions. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",205968603,3972362119,http://cdn.taboola.com/libtrc/static/thumbnails/STABLE_DIFFUSION/ESD/e6bebaa8-d8d0-4e2c-9af3-421d576ce590__eLkufuGj.jpg,Invest In Whisky – The Asset Class That Outperforms Stocks,Download Our Free Guide To Supercharge Your Investment Strategy. ,approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Claimed the product/service was free without disclosing the conditions. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",172764693,3887596602,http://cdn.taboola.com/libtrc/static/thumbnails/fb707a48ef2cd531a85b3d553abb4996.jpg,Diesel Owners Surprised By How Much Compensation They May Get,"Free Reg Check To See If You're Owed £1,000's",approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Claimed the product/service was free without disclosing the conditions. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",197541034,3946040844,http://cdn.taboola.com/libtrc/static/thumbnails/b15dc6399eb590d0be88f533132b6d51.png,End Long Hospital Queues with £0.90 Per Day Health Insurance,Get a Free quote for Private Medical Insurance with Save Money Market,approved,(null),(null),(null)
