policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: • Used incorrect grammar and phrasing. Consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",209133114,4030607682,http://cdn.taboola.com/libtrc/static/thumbnails/STABLE_DIFFUSION_OUTCROP/ESD/f3c3319f-2447-4c14-ab02-f34e25e13c1e__pxy8MPrc.jpg,PAYE Employees can now claim! Apply Now,(null),approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: • Used incorrect grammar and phrasing. Consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",163121530,3846831119,http://cdn.taboola.com/libtrc/static/thumbnails/482f34cc2a402f59896fdaf7a430cf15.png,This Stock's Chart Is Trending,Uranium is at the forefront. Read more about SASK exciting news here.,approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: • Used incorrect grammar and phrasing. Consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",149969714,3718755287,http://cdn.taboola.com/libtrc/static/thumbnails/0d1076fe9acea472db830351451b90c8.jpg,Why investing in whisky is capital gains exempt,(null),approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: • Used incorrect grammar and phrasing. Consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",149490748,3717357522,http://cdn.taboola.com/libtrc/static/thumbnails/b0cfadd691891b986dfbac7aea6757db.png,Three Lithium Stocks with Potential to Boom This Year,"Adoption of electric vehicles (EVs) is predicted to explode by 500% in the next 10 years… 

And given lithium’s crucial role in EV batteries, our Money Morning experts believe the sector is on the cusp of a major run-up.",approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: • Used incorrect grammar and phrasing. Consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",154544005,3731503891,http://cdn.taboola.com/libtrc/static/thumbnails/5553ae5014946149fa5bdae8bad987c9.jpeg,Our #1 AI Tech Pick for 2023,CEO Says This Is Worth 13 Amazons,approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: • Used incorrect grammar and phrasing. Consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",199277268,3950178773,https://qg1.sharepoint.com/sites/NinjaTrader/Shared%20Documents/Rise%20-%20Internal/Creative/Phase%201%20Assets/Native/NT_Native_3.jpg,5 Ways to Upgrade Your Trading with Futures,"Find out how futures trading lets you avoid shorting restrictions and day trading rules, with no minimum account balances.",rejected,THUMBNAIL_IMAGE_QUALITY,Used An Incorrect/Incomplete Url,"We found the thumbnail image was too poor quality for the widget. The thumbnail image:

• Used an incorrect/incomplete URL.

To improve your thumbnail image, consider replacing it with one that is better quality. "
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: • Used incorrect grammar and phrasing. Consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",149175863,3706500335,http://cdn.taboola.com/libtrc/static/thumbnails/d5e0cb8dc89e9c435ca9c5fc9e4c07a0.png,HMRC Could Owe People £1000's From ${city:CapitalizationType}$ In Tax Back,HMRC are refunding tax incorrectly deducted from PPI claimants. Fee charged if successful.,rejected,TITLE_GRAMMAR,Used Incomplete/Incorrect Dki Code (Dynamic Keyword Insertion),"We found the language in the title:

• Used incomplete/incorrect DKI code (Dynamic Keyword Insertion).

For example: ${city:CapitalizationType}$.

To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing. "
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: • Used incorrect grammar and phrasing. Consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",153937989,3730118571,http://cdn.taboola.com/libtrc/static/thumbnails/5de23bc13b5507851c5be0f79489cf89.jpg,Enter Phone Number & Check Eligibility For Gold Loan @ 0.79%* Onwards,Get hassle-free Gold Loan from SahiBandhu at lowest interest rates - Apply Now!,rejected,THUMBNAIL_IMAGE_QUALITY,Contained Contact Details,"We found the thumbnail image was too poor quality for the widget. The thumbnail image:

• Contained contact details.

To improve your thumbnail image, consider replacing it with one that is better quality. "
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: • Used incorrect grammar and phrasing. Consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",205151077,3966461768,http://cdn.taboola.com/libtrc/static/thumbnails/1391e715dcdc29face81d20a8d41243b.jpg,Big Change Leaves $(region:capitalized)$ Drivers Furious,Get matched with the best policy using advanced data techniques to secure the best rate.,rejected,TITLE_GRAMMAR,Used Incomplete/Incorrect Dki Code (Dynamic Keyword Insertion),"We found the language in the title:

• Used incomplete/incorrect DKI code (Dynamic Keyword Insertion).

For example: Misuse of DKI Code.

To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing. "
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: • Used incorrect grammar and phrasing. Consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",138535183,3678236371,http://cdn.taboola.com/libtrc/static/thumbnails/a7819ee043e72b3b561ce923a20af984.jpg,SMARTEST MAN ON EARTH JUST SHOCKED EVERYONE,"Brilliant! ""Amazing!!"" ""GAMECHANGER""",rejected,TITLE_GRAMMAR,Used Inconsistent/Incorrect Capitalization,"We found the language in the title:


Used inconsistent/incorrect capitalization.


For example: SMARTEST MAN ON EARTH JUST SHOCKED EVERYONE/YOU WILL NOT BELIEVE WHAT CANADA'S FAVORITE CHEF DID.

To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing. Other issues: Intelectual property rights violation in Thumbnail such as features Elon Musk and Mark McEwan.
"
