policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,target_violated_rule_ids,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical errors and uses excessive capitalization. The phrase ""Let me Told you"" is incorrect; it should be ""Let me tell you."" Additionally, the use of capitalized words ""From Zero to Financial Hero"" is excessive and may mislead readers. The title should be rewritten to correct these issues.","[""9.2"", ""9.3""]",161306281,3842082973,http://cdn.taboola.com/libtrc/static/thumbnails/7f9081fffab21e4506944f22760093f4.png,Wills Written In ${city:capitalized}$ From Just £27.50,"For a limited time, you can get your Will drafted by experienced professionals for just £27.50 – a small investment that will provide peace of mind for years to come.",approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical errors and uses excessive capitalization. The phrase ""Let me Told you"" is incorrect; it should be ""Let me tell you."" Additionally, the use of capitalized words ""From Zero to Financial Hero"" is excessive and may mislead readers. The title should be rewritten to correct these issues.","[""9.2"", ""9.3""]",150006490,3718862161,http://cdn.taboola.com/libtrc/static/thumbnails/a48e73e4aa732f317243769ac87f68e1.jpg,Massive Cast Benefits From Using ChatGPT,"How are people using ChatGPT to make money? AI and ChatGPT do not offer get-rich-quick schemes. But if you are willing to put in the time and couple ChatGPT with your other skills, you can easily earn $1,000 per month or more.",approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical errors and uses excessive capitalization. The phrase ""Let me Told you"" is incorrect; it should be ""Let me tell you."" Additionally, the use of capitalized words ""From Zero to Financial Hero"" is excessive and may mislead readers. The title should be rewritten to correct these issues.","[""9.2"", ""9.3""]",209776099,4032681571,http://cdn.taboola.com/libtrc/static/thumbnails/d0a544dea770723987d037abb5407b89.png,Where do you have your money invested? See how Gold Can be your safest Option (Read More),Investing in gold is one of the safest way to build a strong financial nest for your future.,approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical errors and uses excessive capitalization. The phrase ""Let me Told you"" is incorrect; it should be ""Let me tell you."" Additionally, the use of capitalized words ""From Zero to Financial Hero"" is excessive and may mislead readers. The title should be rewritten to correct these issues.","[""9.2"", ""9.3""]",188925280,3924188370,http://cdn.taboola.com/libtrc/static/thumbnails/de657cafd771be32afe22561c1a511bd.jpeg,Navigate Crypto Like a Pro: Essential course for Beginners!,"If you want to do as little as humanely possible to master crypto and Web 3.0, then this is for you. We use AI to teach you about crypto ten times faster!",approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical errors and uses excessive capitalization. The phrase ""Let me Told you"" is incorrect; it should be ""Let me tell you."" Additionally, the use of capitalized words ""From Zero to Financial Hero"" is excessive and may mislead readers. The title should be rewritten to correct these issues.","[""9.2"", ""9.3""]",146625917,3705649217,http://cdn.taboola.com/libtrc/static/thumbnails/1abaeb368f0ad48038db89ff2887a776.jpg,CFDs: Investing $200 in Amazon can give you a second income,(null),approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical errors and uses excessive capitalization. The phrase ""Let me Told you"" is incorrect; it should be ""Let me tell you."" Additionally, the use of capitalized words ""From Zero to Financial Hero"" is excessive and may mislead readers. The title should be rewritten to correct these issues.","[""9.2"", ""9.3""]",146625914,3705649237,http://cdn.taboola.com/libtrc/static/thumbnails/add0b5ce037e19298341524308f5f29c.jpg,CFD's: Investing $200 in Amazon can give you a second salary,(null),approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical errors and uses excessive capitalization. The phrase ""Let me Told you"" is incorrect; it should be ""Let me tell you."" Additionally, the use of capitalized words ""From Zero to Financial Hero"" is excessive and may mislead readers. The title should be rewritten to correct these issues.","[""9.2"", ""9.3""]",196406021,3943649847,http://cdn.taboola.com/libtrc/static/thumbnails/f4152d20276565ca49e2e3130aae553b.jpg,The Average Return From These Investments is Just Unbelievable - See List,(null),approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical errors and uses excessive capitalization. The phrase ""Let me Told you"" is incorrect; it should be ""Let me tell you."" Additionally, the use of capitalized words ""From Zero to Financial Hero"" is excessive and may mislead readers. The title should be rewritten to correct these issues.","[""9.2"", ""9.3""]",156220761,3757707020,http://cdn.taboola.com/libtrc/static/thumbnails/72bcf30ad676589039e4a360f55c565e.jpg,Enter Your Name And Find Out How Much HMRC Owe You,HMRC wrongly taxed PPI payouts and you can now claim it back! Millions of Brits are owed this rebate.,approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical errors and uses excessive capitalization. The phrase ""Let me Told you"" is incorrect; it should be ""Let me tell you."" Additionally, the use of capitalized words ""From Zero to Financial Hero"" is excessive and may mislead readers. The title should be rewritten to correct these issues.","[""9.2"", ""9.3""]",209212971,4030579909,http://cdn.taboola.com/libtrc/static/thumbnails/c4c6c2bc73fb5703d6d94a667e2df77c.png,Get Financial Assistance to Fill Your Fridge,See if you qualify for an Extra $189 in SNAP benefits for Monthly for Groceries,approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical errors and uses excessive capitalization. The phrase ""Let me Told you"" is incorrect; it should be ""Let me tell you."" Additionally, the use of capitalized words ""From Zero to Financial Hero"" is excessive and may mislead readers. The title should be rewritten to correct these issues.","[""9.2"", ""9.3""]",138763030,3675545934,http://cdn.taboola.com/libtrc/static/thumbnails/ccda7759d7eab13e823c9633ea2e144f.jpg,Policy Update Brings Good News For Australians Born Between 1956 And 1996,See how this can give you advantage,approved,(null),(null),(null)
