policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,target_violated_rule_ids,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Sexualized or Skin,135556910,3661415286,http://cdn.taboola.com/libtrc/static/thumbnails/c83be100606fe75e22f1aef834d11156.jpg,Need A Personal Loan?,"Safe & Secure, Fast Lender-Approval, Submit Online",rejected,rejected,"""The thumbnail image used sexual or suggestive imagery or depicted someone overexposed. For example: racy wearing underwear out of context. To improve your thumbnail image, consider replacing it with one that is more appropriate for the target audience and uses positive or neutral imagery.""","[""2.1"", ""2.2""]",207866831,4002120821,http://cdn.taboola.com/libtrc/static/thumbnails/8d08b09d8eb15f56827d3ec5f94f0956.jpg,Do You Need a Trust?,A trust might work better than a will for some estate planning. Here's what to consider.,approved,(null),(null),(null)
Sexualized or Skin,135556910,3661415286,http://cdn.taboola.com/libtrc/static/thumbnails/c83be100606fe75e22f1aef834d11156.jpg,Need A Personal Loan?,"Safe & Secure, Fast Lender-Approval, Submit Online",rejected,rejected,"""The thumbnail image used sexual or suggestive imagery or depicted someone overexposed. For example: racy wearing underwear out of context. To improve your thumbnail image, consider replacing it with one that is more appropriate for the target audience and uses positive or neutral imagery.""","[""2.1"", ""2.2""]",136196251,3584338577,http://cdn.taboola.com/libtrc/static/thumbnails/bdc44a027efc100cf5e5ef0d45500b0e.jpg,Don't Ditch. Switch. Private Health Insurance Tips You Need To Know,(null),approved,(null),(null),(null)
Sexualized or Skin,135556910,3661415286,http://cdn.taboola.com/libtrc/static/thumbnails/c83be100606fe75e22f1aef834d11156.jpg,Need A Personal Loan?,"Safe & Secure, Fast Lender-Approval, Submit Online",rejected,rejected,"""The thumbnail image used sexual or suggestive imagery or depicted someone overexposed. For example: racy wearing underwear out of context. To improve your thumbnail image, consider replacing it with one that is more appropriate for the target audience and uses positive or neutral imagery.""","[""2.1"", ""2.2""]",195894571,3942346049,http://cdn.taboola.com/libtrc/static/thumbnails/270d52645f865b97437ff0d463e65493.jpg,High Return Child Plan Invest ₹5000/Month & Get ₹50 Lakh return*,Start Investing from Today & Protect Your Child Future.,approved,(null),(null),(null)
Sexualized or Skin,135556910,3661415286,http://cdn.taboola.com/libtrc/static/thumbnails/c83be100606fe75e22f1aef834d11156.jpg,Need A Personal Loan?,"Safe & Secure, Fast Lender-Approval, Submit Online",rejected,rejected,"""The thumbnail image used sexual or suggestive imagery or depicted someone overexposed. For example: racy wearing underwear out of context. To improve your thumbnail image, consider replacing it with one that is more appropriate for the target audience and uses positive or neutral imagery.""","[""2.1"", ""2.2""]",155945927,3751430770,http://cdn.taboola.com/libtrc/static/thumbnails/8f7793077f3af7979f05716ec8d61b44.jpg,Best Cheap Real Estate Investing in ${region:capitalized}$,Best Top Rated Real Estate Investing - 7 Tips to Investment Easy & Professionally - Save Your Time & Money - Professional Investment Services & Best Investment Ideas,approved,(null),(null),(null)
Sexualized or Skin,135556910,3661415286,http://cdn.taboola.com/libtrc/static/thumbnails/c83be100606fe75e22f1aef834d11156.jpg,Need A Personal Loan?,"Safe & Secure, Fast Lender-Approval, Submit Online",rejected,rejected,"""The thumbnail image used sexual or suggestive imagery or depicted someone overexposed. For example: racy wearing underwear out of context. To improve your thumbnail image, consider replacing it with one that is more appropriate for the target audience and uses positive or neutral imagery.""","[""2.1"", ""2.2""]",155945902,3751430758,http://cdn.taboola.com/libtrc/static/thumbnails/8f7793077f3af7979f05716ec8d61b44.jpg,3 Tips For Real Estate Investing in ${country:capitalized}$,Best Real Estate Investing Offers & 7 Real Estate Investing Tips to Improve Your Investment - Increase Your Success Quick & Easy - Save Your Time & Money,approved,(null),(null),(null)
Sexualized or Skin,135556910,3661415286,http://cdn.taboola.com/libtrc/static/thumbnails/c83be100606fe75e22f1aef834d11156.jpg,Need A Personal Loan?,"Safe & Secure, Fast Lender-Approval, Submit Online",rejected,rejected,"""The thumbnail image used sexual or suggestive imagery or depicted someone overexposed. For example: racy wearing underwear out of context. To improve your thumbnail image, consider replacing it with one that is more appropriate for the target audience and uses positive or neutral imagery.""","[""2.1"", ""2.2""]",168542993,3879192806,http://cdn.taboola.com/libtrc/static/thumbnails/7b9e806f39c51c748438e805d3a15c37.png,Get Car Insurance at AED 450 to Apply for Renewal.,Online Car Insurance policy in just 5 easy steps. Save big on Car Insurance.Find It Here!,approved,(null),(null),(null)
Sexualized or Skin,135556910,3661415286,http://cdn.taboola.com/libtrc/static/thumbnails/c83be100606fe75e22f1aef834d11156.jpg,Need A Personal Loan?,"Safe & Secure, Fast Lender-Approval, Submit Online",rejected,rejected,"""The thumbnail image used sexual or suggestive imagery or depicted someone overexposed. For example: racy wearing underwear out of context. To improve your thumbnail image, consider replacing it with one that is more appropriate for the target audience and uses positive or neutral imagery.""","[""2.1"", ""2.2""]",155945944,3751430649,http://cdn.taboola.com/libtrc/static/thumbnails/1f0435fdc5930bf19e7768bd793b88d3.jpg,Top Rated Real Estate Investing in ${country:capitalized}$,Best Real Estate Investing Services You Can Trust - 7 Tips For A Successful Real Estate Investment - 3 Tips To Know About Real Estate Investing to Save Your Time & Money,approved,(null),(null),(null)
Sexualized or Skin,135556910,3661415286,http://cdn.taboola.com/libtrc/static/thumbnails/c83be100606fe75e22f1aef834d11156.jpg,Need A Personal Loan?,"Safe & Secure, Fast Lender-Approval, Submit Online",rejected,rejected,"""The thumbnail image used sexual or suggestive imagery or depicted someone overexposed. For example: racy wearing underwear out of context. To improve your thumbnail image, consider replacing it with one that is more appropriate for the target audience and uses positive or neutral imagery.""","[""2.1"", ""2.2""]",133279052,3653776269,http://cdn.taboola.com/libtrc/static/thumbnails/326455c3ecf796a096325088e2c997d4.jpg,NRI in ${country:capitalized}$? Invest ₹18K/Month & Get ₹1Cr for your kids College in 15 years,(null),approved,(null),(null),(null)
Sexualized or Skin,135556910,3661415286,http://cdn.taboola.com/libtrc/static/thumbnails/c83be100606fe75e22f1aef834d11156.jpg,Need A Personal Loan?,"Safe & Secure, Fast Lender-Approval, Submit Online",rejected,rejected,"""The thumbnail image used sexual or suggestive imagery or depicted someone overexposed. For example: racy wearing underwear out of context. To improve your thumbnail image, consider replacing it with one that is more appropriate for the target audience and uses positive or neutral imagery.""","[""2.1"", ""2.2""]",147520805,3708254330,http://cdn.taboola.com/libtrc/static/thumbnails/b9c83ea6f75ac453e5c1364313b4c242.jpg,Lithium: The Key to A Greener World?,A lithium expert explains how in the latest series of IC Your Trade.,approved,(null),(null),(null)
Sexualized or Skin,135556910,3661415286,http://cdn.taboola.com/libtrc/static/thumbnails/c83be100606fe75e22f1aef834d11156.jpg,Need A Personal Loan?,"Safe & Secure, Fast Lender-Approval, Submit Online",rejected,rejected,"""The thumbnail image used sexual or suggestive imagery or depicted someone overexposed. For example: racy wearing underwear out of context. To improve your thumbnail image, consider replacing it with one that is more appropriate for the target audience and uses positive or neutral imagery.""","[""2.1"", ""2.2""]",205968598,3972362071,http://cdn.taboola.com/libtrc/static/thumbnails/STABLE_DIFFUSION/ESD/b6cf6092-d049-4442-a93c-be20e4d05149__g3FrrXuj.jpg,How To Invest In Whisky. Own A Barrel Of Whisky,(null),approved,(null),(null),(null)
