policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),151388808,3723146487,http://cdn.taboola.com/libtrc/static/thumbnails/7128a77d404b53efbcb6c3cd521f2886.jpg,"Some women may be entitled to over $170,000",(null),approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),175901595,3895158841,http://cdn.taboola.com/libtrc/static/thumbnails/e06c24ddb27025a7efcb59601def45e5.png,Top Stock You Should Keep an Eye On,Follow the smart money. Is this the next under-the-radar pick?,approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),181399705,3907115365,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/1264327700__8jyqpFxh.jpg,Is a New Bull Market Emerging?,Find out the 3 factors impacting the market in Q1 and what they could mean for investors this year.,approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),209693656,4032887162,http://cdn.taboola.com/libtrc/static/thumbnails/0fdac14df5b2fb692bb8a49e42abc2d4.jpeg,Seniors Outraged Over Private Health Costs Are Flocking To This Service,Stop Overpaying For Health Insurance,approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),209070362,4030506456,http://cdn.taboola.com/libtrc/static/thumbnails/18ba3b5a4ddc90cfebc7733fb3b68c70.jpg,Medicare Recipients In For A Huge Surprise (Check Today),Most Adults on Medicare Don’t Know This (Do It Now),approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),136307385,3666074850,http://cdn.taboola.com/libtrc/static/thumbnails/5371983903df9567c00cdcd23b271ab0.png,Policy Change Offers Respite To Australians Born From 1956 To 1996,"In this lesson, we will guide how you can start second income from home easily.",rejected,THUMBNAIL_RIGHTS_VIOLATION,Used An Unverified Celebrity Endorsement,"We found the claims made in the thumbnail image either needed further permissions or made unverified endorsement claims. The thumbnail image: 

Used an unverified celebrity endorsement. 


To improve your thumbnail image, submit documentation verifying the details of it to Taboola's legal team or consider replacing it with one that uses more reasonable claims."
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),193053437,3935800315,http://cdn.taboola.com/libtrc/static/thumbnails/c796791d0187e969d458a221a3ec2129.jpg,Shocking Ways to Save on Apple Devices—Don't Miss Out!,"This simple trick can save you tons of money at Apple, but most shoppers are ignoring it.",rejected,THUMBNAIL_RIGHTS_VIOLATION,Used An Unverified Brand Endorsement,"We found the claims made in the thumbnail image either needed further permissions or made unverified endorsement claims. The thumbnail image:

• Used an unverified brand endorsement.

For example: Apple logo used in the thumbnail.

To improve your thumbnail image, submit documentation verifying the details of it to Taboola's legal team or consider replacing it with one that uses more reasonable claims. "
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),139868539,3681304269,http://cdn.taboola.com/libtrc/static/thumbnails/a273006154b30dec75acdc3fe50321ae.png,"$(city:capitalized)$, ${region:capitalized}$ Is Offering To Cut Upfront Costs For Solar Install",(null),rejected,THUMBNAIL_RIGHTS_VIOLATION,Used An Unverified Government Endorsement,"We found the claims made in the thumbnail image either needed further permissions or made unverified endorsement claims. The thumbnail image: 

 
Used an unverified government endorsement. 
 
For example: Model posing as a politician

To improve your thumbnail image, submit documentation verifying the details of it to Taboola's legal team or consider replacing it with one that uses more reasonable claims."
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),191587415,3932349415,http://cdn.taboola.com/libtrc/static/thumbnails/a4c008c0c6ed5744766736131b0b5c3f.jpg,Robinhood Gets Downgrade: 3 Reasons to Still Buy,Get Full Stock Analysis,rejected,THUMBNAIL_RIGHTS_VIOLATION,Used An Unverified Brand Endorsement,"We found the claims made in the thumbnail image either needed further permissions or made unverified endorsement claims. The thumbnail image:

• Used an unverified brand endorsement.

For example: Used an unverified brand endorsement.

To improve your thumbnail image, submit documentation verifying the details of it to Taboola's legal team or consider replacing it with one that uses more reasonable claims. "
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),140542736,3637107524,http://cdn.taboola.com/libtrc/static/thumbnails/416ba83349b7c2ea4757df5f07bd0a52.jpg,16 Highly Unnecessary Things Adults Waste A Fortune On Every Month,Here are 16 highly unnecessary things you're wasting a fortune on every month but didn’t know,rejected,THUMBNAIL_RIGHTS_VIOLATION,Used An Unverified Brand Endorsement,"We found the claims made in the thumbnail image either needed further permissions or made unverified endorsement claims. The thumbnail image: 

Used an unverified brand endorsement.

For example: Coke / Tide.

To improve your thumbnail image, submit documentation verifying the details of it to Taboola's legal team or consider replacing it with one that uses more reasonable claims."
