policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Endorsement,207490803,3995037031,http://cdn.taboola.com/libtrc/static/thumbnails/98c9ea8aef70fbfc075cfd63287669a2.png,Warning to British Homeowners With No Will,(null),rejected,approved,(null),175727039,3894703840,http://cdn.taboola.com/libtrc/static/thumbnails/8865e2f2b6c5d92aa4f6a16a92f94157.png,Warning To South African Homeowners Without A Will,"There is an increased concern among South Africans about their families’ future and the need for wills, it has emerged.",approved,(null),(null),(null)
Endorsement,207490803,3995037031,http://cdn.taboola.com/libtrc/static/thumbnails/98c9ea8aef70fbfc075cfd63287669a2.png,Warning to British Homeowners With No Will,(null),rejected,approved,(null),199822243,3951171448,http://cdn.taboola.com/libtrc/static/thumbnails/89e254b1ccfca92b90a1dc6adacdec00.png,People Born 1944-1973 With No Life Insurance Could Get This,(null),approved,(null),(null),(null)
Endorsement,207490803,3995037031,http://cdn.taboola.com/libtrc/static/thumbnails/98c9ea8aef70fbfc075cfd63287669a2.png,Warning to British Homeowners With No Will,(null),rejected,approved,(null),209158109,4030804553,http://cdn.taboola.com/libtrc/static/thumbnails/002b61363ff574019845df2440bf209c.png,No joke: This Is How Much Homeowners Pay For A Will In 2023,Government research indicates that a staggering proportion of the UK’s population has not taken the step to have a Will. Safeguard your estate for your future generations by drafting your Will today.,approved,(null),(null),(null)
Endorsement,207490803,3995037031,http://cdn.taboola.com/libtrc/static/thumbnails/98c9ea8aef70fbfc075cfd63287669a2.png,Warning to British Homeowners With No Will,(null),rejected,approved,(null),196565231,3943910661,http://cdn.taboola.com/libtrc/static/thumbnails/a601cb321595d3de76baba34cddc23b6.png,People Born 1944 - 1973 With No Life Insurance Could Be Eligible For This,(null),approved,(null),(null),(null)
Endorsement,207490803,3995037031,http://cdn.taboola.com/libtrc/static/thumbnails/98c9ea8aef70fbfc075cfd63287669a2.png,Warning to British Homeowners With No Will,(null),rejected,approved,(null),208265709,3998122049,http://cdn.taboola.com/libtrc/static/thumbnails/bd58abf119ac8df61133cefacf5f5e47.jpg,Start a New Income Stream as a Trader,Save 80% Off All Apex Plans. Get Funded With No Risk. Trade Without Limitations.,approved,(null),(null),(null)
Endorsement,207490803,3995037031,http://cdn.taboola.com/libtrc/static/thumbnails/98c9ea8aef70fbfc075cfd63287669a2.png,Warning to British Homeowners With No Will,(null),rejected,approved,(null),189304291,3926366890,http://cdn.taboola.com/libtrc/static/thumbnails/c7c3491ba95b4f8e9a13e51c19aa8e56.png,Homeowners in ${city:capitalized}$ should take advantage of this scheme in 2024,(null),approved,(null),(null),(null)
Endorsement,207490803,3995037031,http://cdn.taboola.com/libtrc/static/thumbnails/98c9ea8aef70fbfc075cfd63287669a2.png,Warning to British Homeowners With No Will,(null),rejected,approved,(null),152523517,3726543135,http://cdn.taboola.com/libtrc/static/thumbnails/8fca71f2d1948e780a95876135896e91.jpg,No Joke: This Is How Much Solar Panels Should Really Cost,(null),approved,(null),(null),(null)
Endorsement,207490803,3995037031,http://cdn.taboola.com/libtrc/static/thumbnails/98c9ea8aef70fbfc075cfd63287669a2.png,Warning to British Homeowners With No Will,(null),rejected,approved,(null),206623891,3975799225,http://cdn.taboola.com/libtrc/static/thumbnails/58ba6326f51de4d73ae3e70c5d5cc97e.jpg,Does Homeowners Insurance Covers Plumbing?,Get information to help you better understand how homeowners' insurance policies deal with plumbing issues.,approved,(null),(null),(null)
Endorsement,207490803,3995037031,http://cdn.taboola.com/libtrc/static/thumbnails/98c9ea8aef70fbfc075cfd63287669a2.png,Warning to British Homeowners With No Will,(null),rejected,approved,(null),208038671,4002558271,http://cdn.taboola.com/libtrc/static/thumbnails/5c720e7a4f880ec0d01cef04eca21e1e.jpg,You Can Earn A Second Income With Salik CFD Stocks And Others,(null),approved,(null),(null),(null)
Endorsement,207490803,3995037031,http://cdn.taboola.com/libtrc/static/thumbnails/98c9ea8aef70fbfc075cfd63287669a2.png,Warning to British Homeowners With No Will,(null),rejected,approved,(null),206741155,3976135819,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/1221459135__IPl75ymd.jpg,UAE : Find Out How Much Additional Income You Can Earn With Amazon Stocks?,(null),approved,(null),(null),(null)
