policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: Used poor phrasing/translation. For example: ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing.",210179666,4044514023,http://cdn.taboola.com/libtrc/static/thumbnails/9dd6c35cdcd5cdd8e6a486a6c50a51d5.jpeg,We can assist with all your legal matters,"Our Directors and Consultants are supported by a team of experienced Solicitors and Clerks, providing legal advice across a broad range of areas, including property and conveyancing, wills, estates, family law, litigation and criminal law.",approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: Used poor phrasing/translation. For example: ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing.",209782872,4033244793,http://cdn.taboola.com/libtrc/static/thumbnails/18f919fcd1d9fa90e9934ef77b4aa441.jpg,Surging AI Tech Stock,One of the only leaders in the AI space seeing significant growth. Find out more.,approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: Used poor phrasing/translation. For example: ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing.",138340992,3677626257,http://cdn.taboola.com/libtrc/static/thumbnails/af3761274fdc58ca96aa828252601765.jpeg,Claim Your Free Whisky Investor Guide ,"Up over 500% in the last decade, is whisky the perfect inflation hedge?",approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: Used poor phrasing/translation. For example: ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing.",133279052,3653776269,http://cdn.taboola.com/libtrc/static/thumbnails/326455c3ecf796a096325088e2c997d4.jpg,NRI in ${country:capitalized}$? Invest ₹18K/Month & Get ₹1Cr for your kids College in 15 years,(null),approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: Used poor phrasing/translation. For example: ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing.",192561020,3934637848,http://cdn.taboola.com/libtrc/static/thumbnails/40d6604a3e4c14d255094f71ff38d4dc.jpg,Who Unusually Has The Cheapest Car Insurance?,"You could grab deep discounts on car insurance if you’re currently insured, have 3 years without a ticket, no DUIs, and drive less than 50 miles per day. ",approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: Used poor phrasing/translation. For example: ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing.",188925286,3924188454,http://cdn.taboola.com/libtrc/static/thumbnails/77cac243698fc3c8da139d3036b63614.jpeg,Navigate Crypto Like A Pro: Essential Course for Beginners!,"Master crypto in record time with our AI-assisted course...We use AI to teach you about crypto 10 times faster! Crypto changed our life, and now it’s our mission to teach you!",approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: Used poor phrasing/translation. For example: ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing.",146905431,3706604512,http://cdn.taboola.com/libtrc/static/thumbnails/2bafb11f3c1b1e9f5c5198b853dbab42.jpg,Average Retirement Savings By Age: Are You Normal?,(null),approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: Used poor phrasing/translation. For example: ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing.",207974135,4002512279,http://cdn.taboola.com/libtrc/static/thumbnails/06186f71f96dc904e518ced8e866baeb.jpg,Kiwis born before 1994 with no Life Insurance should read this,(null),approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: Used poor phrasing/translation. For example: ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing.",186739987,3918953467,http://cdn.taboola.com/libtrc/static/thumbnails/d8538f75de1cb538d210e9f2e8314662.png,What to Buy with Bitcoin at All-Time Highs,(null),approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title: Used poor phrasing/translation. For example: ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing.",146625914,3705649237,http://cdn.taboola.com/libtrc/static/thumbnails/add0b5ce037e19298341524308f5f29c.jpg,CFD's: Investing $200 in Amazon can give you a second salary,(null),approved,(null),(null),(null)
