policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,target_violated_rule_ids,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Politicized,209070362,4030506456,http://cdn.taboola.com/libtrc/static/thumbnails/18ba3b5a4ddc90cfebc7733fb3b68c70.jpg,Medicare Recipients In For A Huge Surprise (Check Today),Most Adults on Medicare Don’t Know This (Do It Now),approved,approved,(null),(null),197340251,3940159778,http://cdn.taboola.com/libtrc/static/thumbnails/6a044c337e112cf2267441eb1dffb8ac.jpeg,On Medicare? Do This Before ${dayofweek:capitalized}$,People on Medicare Are Claiming This Benefit (Check Today),approved,(null),(null),(null)
Politicized,209070362,4030506456,http://cdn.taboola.com/libtrc/static/thumbnails/18ba3b5a4ddc90cfebc7733fb3b68c70.jpg,Medicare Recipients In For A Huge Surprise (Check Today),Most Adults on Medicare Don’t Know This (Do It Now),approved,approved,(null),(null),202737403,3957799626,http://cdn.taboola.com/libtrc/static/thumbnails/c9de5401d6b17ca55efd511c7e8175a3.jpg,Over 60's Without A Power of Attorney Should Read This,(null),approved,(null),(null),(null)
Politicized,209070362,4030506456,http://cdn.taboola.com/libtrc/static/thumbnails/18ba3b5a4ddc90cfebc7733fb3b68c70.jpg,Medicare Recipients In For A Huge Surprise (Check Today),Most Adults on Medicare Don’t Know This (Do It Now),approved,approved,(null),(null),137609510,3675028433,http://cdn.taboola.com/libtrc/static/thumbnails/ce2a2f4b932a437decf9b05c9c5a2132.jpg,NRI? By Investing ₹18k/Month* You can Build Your Child's College Fund. Know More!,(null),approved,(null),(null),(null)
Politicized,209070362,4030506456,http://cdn.taboola.com/libtrc/static/thumbnails/18ba3b5a4ddc90cfebc7733fb3b68c70.jpg,Medicare Recipients In For A Huge Surprise (Check Today),Most Adults on Medicare Don’t Know This (Do It Now),approved,approved,(null),(null),209932563,4035898761,http://cdn.taboola.com/libtrc/static/thumbnails/990c467f84d172b938142a0f2d32ac52.jpg,Why Investors Should Focus on Key Market Trends and Earnings Reports,"This week’s market focuses on earnings and strategic updates across tech, logistics, and pharmaceuticals. Stay informed on key developments to navigate investment opportunities in volatile markets.",approved,(null),(null),(null)
Politicized,209070362,4030506456,http://cdn.taboola.com/libtrc/static/thumbnails/18ba3b5a4ddc90cfebc7733fb3b68c70.jpg,Medicare Recipients In For A Huge Surprise (Check Today),Most Adults on Medicare Don’t Know This (Do It Now),approved,approved,(null),(null),183057145,3910815048,http://cdn.taboola.com/libtrc/static/thumbnails/80d6d5e322b8ff09462269b00852420c.jpg,5 Lakh Health Cover for NRIs at ₹300/Month (Apply Now),Buy/Renew best family Health Insurance plans online with maximum health cover.,approved,(null),(null),(null)
Politicized,209070362,4030506456,http://cdn.taboola.com/libtrc/static/thumbnails/18ba3b5a4ddc90cfebc7733fb3b68c70.jpg,Medicare Recipients In For A Huge Surprise (Check Today),Most Adults on Medicare Don’t Know This (Do It Now),approved,approved,(null),(null),206405016,3973888731,http://cdn.taboola.com/libtrc/static/thumbnails/4ca61ebd516e744649824d4c2db4c781.jpeg,"Faster, More Accurate Patient Diagnostics","With average life expectancy on the decline plus an increasing number reaching a ""mature"" age, we have a healthcare crisis. Savvy investors are betting big on this solution…",approved,(null),(null),(null)
Politicized,209070362,4030506456,http://cdn.taboola.com/libtrc/static/thumbnails/18ba3b5a4ddc90cfebc7733fb3b68c70.jpg,Medicare Recipients In For A Huge Surprise (Check Today),Most Adults on Medicare Don’t Know This (Do It Now),approved,approved,(null),(null),181093867,3902673386,http://cdn.taboola.com/libtrc/static/thumbnails/7d6754199c9fffb51c6d967a405ace2a.jpg,Business Owners: If You Accepted Credit Cards Between 2004-2018 You Qualify For Compensation.,"If your business accepted Credit Cards between 2004 to 2018, you can submit a claim to receive a share of a $5.54 billion settlement. Many businesses will receive several thousand dollars for overcharged credit card processing fees.",approved,(null),(null),(null)
Politicized,209070362,4030506456,http://cdn.taboola.com/libtrc/static/thumbnails/18ba3b5a4ddc90cfebc7733fb3b68c70.jpg,Medicare Recipients In For A Huge Surprise (Check Today),Most Adults on Medicare Don’t Know This (Do It Now),approved,approved,(null),(null),188925286,3924188454,http://cdn.taboola.com/libtrc/static/thumbnails/77cac243698fc3c8da139d3036b63614.jpeg,Navigate Crypto Like A Pro: Essential Course for Beginners!,"Master crypto in record time with our AI-assisted course...We use AI to teach you about crypto 10 times faster! Crypto changed our life, and now it’s our mission to teach you!",approved,(null),(null),(null)
Politicized,209070362,4030506456,http://cdn.taboola.com/libtrc/static/thumbnails/18ba3b5a4ddc90cfebc7733fb3b68c70.jpg,Medicare Recipients In For A Huge Surprise (Check Today),Most Adults on Medicare Don’t Know This (Do It Now),approved,approved,(null),(null),200185405,3952027694,http://cdn.taboola.com/libtrc/static/thumbnails/248e00dc44260ccd641be1110b83074e.png,People Born 1944-1973 With No Life Insurance Could Get This,(null),approved,(null),(null),(null)
Politicized,209070362,4030506456,http://cdn.taboola.com/libtrc/static/thumbnails/18ba3b5a4ddc90cfebc7733fb3b68c70.jpg,Medicare Recipients In For A Huge Surprise (Check Today),Most Adults on Medicare Don’t Know This (Do It Now),approved,approved,(null),(null),161576674,3842778594,http://c3.taboola.com/libtrc/static/thumbnails/so_auto/f_jpg/v1698274351/niuw7hqif35alxmnvbxg.jpg,Every Homeowner Should Be Aware Of This New Solar Program With $0 Upfront Cost If You Qualify,(null),approved,(null),(null),(null)
Politicized,209070362,4030506456,http://cdn.taboola.com/libtrc/static/thumbnails/18ba3b5a4ddc90cfebc7733fb3b68c70.jpg,Medicare Recipients In For A Huge Surprise (Check Today),Most Adults on Medicare Don’t Know This (Do It Now),approved,approved,(null),(null),138183544,3677222490,http://cdn.taboola.com/libtrc/static/thumbnails/eab4f433804ce1de266212bb927a05f2.jpeg,"Adults in $20,000+ Credit Card Debt Could Get A Big Surprise (Do This)",(null),rejected,THUMBNAIL_INAPPROPRIATE,Was Politicized Or Politically Biased,"We found the thumbnail image: 
Was politicized or politically biased.
For example: Models posing as politicians or judges government affiliation
To improve your thumbnail image, consider replacing it with one that is more appropriate for the target audience and uses positive or neutral imagery."
Politicized,209070362,4030506456,http://cdn.taboola.com/libtrc/static/thumbnails/18ba3b5a4ddc90cfebc7733fb3b68c70.jpg,Medicare Recipients In For A Huge Surprise (Check Today),Most Adults on Medicare Don’t Know This (Do It Now),approved,approved,(null),(null),206872122,3978763306,http://cdn.taboola.com/libtrc/static/thumbnails/6236a2b7cabab2caf842e7d720f529d8.png,Only 5% of Canadians People Know This,(null),rejected,THUMBNAIL_POLITICIZED_OR_POLITICALLY_BIASED,Is Politicized Or Politically Biased.,Featuring politician
