policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,We found the title misrepresented the product/service or content in the ad. The title:,169758355,3881511971,http://cdn.taboola.com/libtrc/static/thumbnails/1b2d84cacad45d4180849eb0ec448133.png,A.I. Warns Traders About What's Coming Next,Advanced A.I. “brain” consistently forecasts the stock market with up to 87.4% accuracy… 1-3 days in advance. Here's what it's seeing right now.,approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,We found the title misrepresented the product/service or content in the ad. The title:,196743183,3887377619,http://cdn.taboola.com/libtrc/static/thumbnails/eef50725e8e74ec7960eaa9ee381c678.jpg,Self Managed Super Investment,CFMG Capital creates value for investors by indirectly lending to residential land sub-divisions. Find out more today!,approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,We found the title misrepresented the product/service or content in the ad. The title:,175438581,3893974912,http://cdn.taboola.com/libtrc/static/thumbnails/f0e94309d760804f785e7384f024ed54.png,Those On Medicare &  Medicaid In For A Huge Surprise (Do This Today),(null),approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,We found the title misrepresented the product/service or content in the ad. The title:,203032807,3958318887,http://cdn.taboola.com/libtrc/static/thumbnails/8d5fd5f0e4848ee6bc21a6c9df41caa4.jpg,"Start investing in US Treasuries now!
","Interactive Brokers has extended trading hours for US Treasury bonds, now allowing you to trade 22 hours a day to respond rapidly to market news and events. Your capital is at risk.
",approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,We found the title misrepresented the product/service or content in the ad. The title:,198177843,3947442269,http://cdn.taboola.com/libtrc/static/thumbnails/500ec67da9faca78e8b238c509aab490.jpg,Learn How to Trade from Home,"Access market opportunities from your PC or mobile. No previous experience required.Get free 1-on-1 training, a $5,000 Demo Account and start trading",approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,We found the title misrepresented the product/service or content in the ad. The title:,206153549,3950962545,http://cdn.taboola.com/libtrc/static/thumbnails/39d50923dfa5fbc2681ec38eed8adf58.jpg,Pre-IPO Access: Invest in AI Startups,"Unleash next-gen tech power! Discover hidden AI stocks, secure pre-IPO access, and maximize returns. This exclusive guide unlocks top picks to future-proof your portfolio. Don't miss out - explore AI investing now!",approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,We found the title misrepresented the product/service or content in the ad. The title:,191228427,3931523540,http://cdn.taboola.com/libtrc/static/thumbnails/STABLE_DIFFUSION/ESD/b84432f6-8cbb-4ddc-8ec5-4c5a3b93e6aa__GJzQZwMY.jpg,Unlock Better Financial Standing,Discover simple steps to improve your credit score with our easy-to-follow guide.,approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,We found the title misrepresented the product/service or content in the ad. The title:,148526416,3714741285,http://cdn.taboola.com/libtrc/static/thumbnails/1fe348f12632a6e97393cfa657d0a635.jpg,Kiwi's feeling the pinch are saving hundreds by swapping broadband provider,(null),approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,We found the title misrepresented the product/service or content in the ad. The title:,209925538,4036251361,http://cdn.taboola.com/libtrc/static/thumbnails/STABLE_DIFFUSION_OUTCROP/ESD/b4019ec1-6008-4372-a762-821911de26d4__93XVqxy7.jpg,Log into the @tymebankza Banking App to play!,(null),approved,(null),(null),(null)
Finance Claims,180424854,3905163843,http://cdn.taboola.com/libtrc/static/thumbnails/4e68e7b06e7853b027a11991cd076e54.gif,"Free System, Free Quick start, Free member access must learn trading systems",(null),rejected,rejected,We found the title misrepresented the product/service or content in the ad. The title:,199934637,3948387395,http://cdn.taboola.com/libtrc/static/thumbnails/2e447ef66d0d108d697f57924c6f9df5.png,Check If You're Owed Compensation From Close Brothers For Mis-sold PCP,Free online check to see if any of your PCP finance agreements between 2007-2021 were mis-sold to you. You could be owed £1000’s per vehicle!,approved,(null),(null),(null)
