policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),206131903,3973550293,http://cdn.taboola.com/libtrc/static/thumbnails/29b116305c8230512b313b855d9d589e.png,Unlock Investment Potential: Top Market Developments to Track Now,"Stay ahead in the investments by monitoring this week's market developments. From quarterly earnings reports to strategic investments, key updates will provide valuable insights for informed decision-making and supporting your portfolio performance.",approved,(null),(null),(null)
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),204567985,3962607705,http://cdn.taboola.com/libtrc/static/thumbnails/0163e88571ffbcd9e02b78a647fe0f0d.jpg,Understanding Market Trends: Strategic Initiatives and Financial Results to Watch,"Explore key market developments, highlighting financial performance, innovative strategies, and expansion plans. This analysis provides insights for investors looking to make informed decisions based on recent market activities and financial trends.",approved,(null),(null),(null)
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),209782872,4033244793,http://cdn.taboola.com/libtrc/static/thumbnails/18f919fcd1d9fa90e9934ef77b4aa441.jpg,Surging AI Tech Stock,One of the only leaders in the AI space seeing significant growth. Find out more.,approved,(null),(null),(null)
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),181399706,3907115367,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/1417927601__pMfHCRO3.jpg,Is your portfolio ready for what’s next?,Find out the 3 factors impacting the market in Q1 and what they could mean for investors this year.,approved,(null),(null),(null)
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),199239637,3940864328,http://cdn.taboola.com/libtrc/static/thumbnails/39d50923dfa5fbc2681ec38eed8adf58.jpg,The Secret to AI Investing Success,"Invest in tomorrow, today! Get exclusive access to pre-IPO AI startups poised for disruption. Secure your spot in the future of tech. Explore Now!",approved,(null),(null),(null)
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),171247852,3884329218,http://cdn.taboola.com/libtrc/static/thumbnails/c6052b9b602dfa0aed4570c42d4f2aee.jpg,Generate Sixfigure Income by Trading Online Business (Complete Guidance) | Business Tub,"In the dynamic landscape of online entrepreneurship, staying ahead of trends is crucial for success. ",rejected,TITLE_EXAGGERATED_CLAIM,Made Guarantees Or Promises,"We found the title misrepresented the product/service or content in the ad. The title:

• Made guarantees or promises.

For example: Generate Sixfigure Income by Trading Online Business (Complete Guidance) | Business Tub.

To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.
"
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),150225021,3719471949,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/FKF/1305523759__iAitBHOe.jpg,These are the hottest crypto currencies to buy!,Have a look at the most bought Cryptos and NFTs for this month and reshape your investment plan.,rejected,TITLE_CONTENT_MISMATCH,"Did Not Relate To Either The Thumbnail Image, The Content On The Landing Page Or The Product/Service Advertised","We found the title misrepresented the product/service or content in the ad. The title:

• Did not relate to either the thumbnail image, the content on the landing page or the product/service advertised.

For example: Best Cryptos to buy right now, while the landing page is about ""These 4 Free Software will Speed Up your PC like new!"".

To improve your title, consider rewriting it or replacing it with one that better matches the rest of the ad. "
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),145148344,3700601690,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/1390116872__9ra6fvd6.jpg,"Discover the strategies behind Amazon's success. Get your FREE e-book now!

Maximize Sales - Dominate your market and skyrocket profits.",(null),rejected,TITLE_CONTENT_MISMATCH,Contained Inaccurate Information,"We found the title misrepresented the product/service or content in the ad. The title:


Contained inaccurate information.
Did not relate to either the thumbnail image, the content on the landing page or the product/service advertised.

For example: Mislead users into thinking they are purchasing stocks, cryptocurrency or any other investment

To improve your title, consider rewriting it or replacing it with one that better matches the rest of the ad."
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),200370441,3952631833,http://cdn.taboola.com/libtrc/static/thumbnails/d0a3a7e2bbb8a8c9f2589f1cd7dee5b3.jpg,Breaking News: New $6400 Health Subsidy For Americans,"The government is now offering $6,400 in health subsidies to eligible individuals and families. The window for this program is closing soon. Click the link and see if you qualify today",rejected,TITLE_CONTENT_MISMATCH,Contained Inaccurate Information,"We found the title misrepresented the product/service or content in the ad. The title:

• Contained inaccurate information.

For example: misleading - breaking news.

To improve your title, consider rewriting it or replacing it with one that better matches the rest of the ad. "
Misrepresentative,209587842,4032375572,http://cdn.taboola.com/libtrc/static/thumbnails/f200c737b6439c2f85485772db5711f8.png,Upcoming Earnings Reports: Sectors to Watch as AI and Cloud Dominate,"Stay ahead of market shifts by tracking this week’s key trends in AI, cloud computing, and healthcare. These sectors are poised for growth, offering investors significant opportunities in the near term.",approved,approved,(null),154725281,3731942654,http://cdn.taboola.com/libtrc/static/thumbnails/d26dffe17a88a819e07b46dca17234a3.jpg,WARNING: 353 Banks Could Retire the Dollar by Dec 31,"As early as Dec 31st, this massive change could dramatically impact the cash in your bank.",rejected,TITLE_CONTENT_MISMATCH,Created A False Sense Of Urgency,"We found the title misrepresented the product/service or content in the ad. The title:

• Created a false sense of urgency.

For example: WARNING / ALERT 

To improve your title, consider rewriting it or replacing it with one that better matches the rest of the ad.
"
Misrepresentative,130600102,3610869731,http://cdn.taboola.com/libtrc/static/thumbnails/481fe51b2d9824c37ff4532edf2eb775.png,This Is Beneficial For Everyone,(null),rejected,rejected,"We found the thumbnail image misrepresented the product/service or content in the funnel. The thumbnail image: Did not relate to either the title, the content on the landing page or the product/service advertised. For example: Showing picture of a woman that is unrelated to solar panels. To improve your thumbnail image, consider replacing it with one that better matches the rest of the ad.",209628618,4032571264,http://cdn.taboola.com/libtrc/static/thumbnails/a208fb8e8ea11584cb34f3b505efc563.jpg,Adults on Medicare Due a Huge Surprise This ${dayofweek:capitalized}$,Special Benefits Everyone On Medicare Can Apply For,approved,(null),(null),(null)
Misrepresentative,130600102,3610869731,http://cdn.taboola.com/libtrc/static/thumbnails/481fe51b2d9824c37ff4532edf2eb775.png,This Is Beneficial For Everyone,(null),rejected,rejected,"We found the thumbnail image misrepresented the product/service or content in the funnel. The thumbnail image: Did not relate to either the title, the content on the landing page or the product/service advertised. For example: Showing picture of a woman that is unrelated to solar panels. To improve your thumbnail image, consider replacing it with one that better matches the rest of the ad.",199282375,3950154917,http://cdn.taboola.com/libtrc/static/thumbnails/2bda5ced548d27e2089332a717be524f.jpg,Why Is Congress Excited About This Device?,(null),approved,(null),(null),(null)
