policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Health Claims,191070120,3931231402,http://cdn.taboola.com/libtrc/static/thumbnails/549ca95d12c9e4d49ff63b5577715156.jpeg,"Major Banks Giving Away $5,000 In Credit With Instant Approval",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Used absolute language. For example: giving away, instant approval. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",206693921,3975951484,https://bzns.media/upload/resize_cache/iblock/07e/1280_1280_1/07e1194452d922ee1f2d8feeca7d7eb6.jpg,${region:capitalized}$ Bank Rates You Have To See To Believe,(null),approved,(null),(null),(null)
Health Claims,191070120,3931231402,http://cdn.taboola.com/libtrc/static/thumbnails/549ca95d12c9e4d49ff63b5577715156.jpeg,"Major Banks Giving Away $5,000 In Credit With Instant Approval",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Used absolute language. For example: giving away, instant approval. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",173975046,3889982002,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/1185282377__6NfWdXPR.jpg,Tech Expert’s Urgent Warning: The Startling Reason behind their Pause,Learn the reason on season 3 of IC Your Trade.,approved,(null),(null),(null)
Health Claims,191070120,3931231402,http://cdn.taboola.com/libtrc/static/thumbnails/549ca95d12c9e4d49ff63b5577715156.jpeg,"Major Banks Giving Away $5,000 In Credit With Instant Approval",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Used absolute language. For example: giving away, instant approval. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",197866688,3947068946,http://cdn.taboola.com/libtrc/static/thumbnails/341fac38af5744423ff596dfa612ad43.png,Ancient beverage trumps gold as investment. Here's why,(null),approved,(null),(null),(null)
Health Claims,191070120,3931231402,http://cdn.taboola.com/libtrc/static/thumbnails/549ca95d12c9e4d49ff63b5577715156.jpeg,"Major Banks Giving Away $5,000 In Credit With Instant Approval",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Used absolute language. For example: giving away, instant approval. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",141424122,3687973842,http://cdn.taboola.com/libtrc/static/thumbnails/e2e211e59f8a79c090d428c13108262d.png,8 ways to earn money from your phone,Do you want an extra income? See here 8 ways to earn money from your phone. It's free and easy and you can start today.,approved,(null),(null),(null)
Health Claims,191070120,3931231402,http://cdn.taboola.com/libtrc/static/thumbnails/549ca95d12c9e4d49ff63b5577715156.jpeg,"Major Banks Giving Away $5,000 In Credit With Instant Approval",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Used absolute language. For example: giving away, instant approval. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",188925280,3924188370,http://cdn.taboola.com/libtrc/static/thumbnails/de657cafd771be32afe22561c1a511bd.jpeg,Navigate Crypto Like a Pro: Essential course for Beginners!,"If you want to do as little as humanely possible to master crypto and Web 3.0, then this is for you. We use AI to teach you about crypto ten times faster!",approved,(null),(null),(null)
Health Claims,191070120,3931231402,http://cdn.taboola.com/libtrc/static/thumbnails/549ca95d12c9e4d49ff63b5577715156.jpeg,"Major Banks Giving Away $5,000 In Credit With Instant Approval",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Used absolute language. For example: giving away, instant approval. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",145868052,3703200886,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/1268120299__SBvB4uvb.jpg,Asthma Signs - Research Solution Moderate Asthma,(null),rejected,TITLE_EXAGGERATED_CLAIM,"Claimed To Treat, Prevent Or Cure","We found the title misrepresented the product/service or content in the ad. The title:

• Claimed to treat, prevent or cure.

For example: solution.

To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made. "
Health Claims,191070120,3931231402,http://cdn.taboola.com/libtrc/static/thumbnails/549ca95d12c9e4d49ff63b5577715156.jpeg,"Major Banks Giving Away $5,000 In Credit With Instant Approval",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Used absolute language. For example: giving away, instant approval. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",145868043,3703200859,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/1268120299__SBvB4uvb.jpg,Asthma Remedies - Research Solution Moderate Asthma,(null),rejected,TITLE_EXAGGERATED_CLAIM,"Claimed To Treat, Prevent Or Cure","We found the title misrepresented the product/service or content in the ad. The title:

• Claimed to treat, prevent or cure.

For example: solution.

To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made. "
Health Claims,191070120,3931231402,http://cdn.taboola.com/libtrc/static/thumbnails/549ca95d12c9e4d49ff63b5577715156.jpeg,"Major Banks Giving Away $5,000 In Credit With Instant Approval",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Used absolute language. For example: giving away, instant approval. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",145868061,3703200876,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/1268120299__SBvB4uvb.jpg,Asthma Symptoms - Research Solution Moderate Asthma,(null),rejected,TITLE_EXAGGERATED_CLAIM,"Claimed To Treat, Prevent Or Cure","We found the title misrepresented the product/service or content in the ad. The title:

• Claimed to treat, prevent or cure.

For example: solution.

To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made. "
Health Claims,191070120,3931231402,http://cdn.taboola.com/libtrc/static/thumbnails/549ca95d12c9e4d49ff63b5577715156.jpeg,"Major Banks Giving Away $5,000 In Credit With Instant Approval",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Used absolute language. For example: giving away, instant approval. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",136309215,3666175389,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/FKF/1416005842__0laQzSHa.jpg,New 2023 Program Erases All Credit Card Debt,(null),rejected,TITLE_EXAGGERATED_CLAIM,Used Absolute Language,"We found the title misrepresented the product/service or content in the ad. The title: 

Used absolute language.

For example: erases

To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made."
Health Claims,191070120,3931231402,http://cdn.taboola.com/libtrc/static/thumbnails/549ca95d12c9e4d49ff63b5577715156.jpeg,"Major Banks Giving Away $5,000 In Credit With Instant Approval",(null),rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title: Used absolute language. For example: giving away, instant approval. To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",147787360,3704244571,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/DV/1285290797__VlngxjXr.jpg,Ovarian Cancer from Talcum Powder? You May Be Entitled to Compensation,(null),rejected,TITLE_EXAGGERATED_CLAIM,Was Targeting The User For Having A Serious Disease,"We found the title misrepresented the product/service or content in the ad. The title:

• Was targeting the user for having a serious disease.

For example: Affected by Cancer Due to Talcum? You May be Entitled to a Settlement.

To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made. "
Health Claims,201202737,3945289346,http://cdn.taboola.com/libtrc/static/thumbnails/STABLE_DIFFUSION/ESD/be9d6e7e-42bf-4440-a9df-a5e4a433b903__yNn0xImT.jpg,Forbes: Say Goodbye to Your Credit Card Debt By Doing This,"If you’re feeling overwhelmed by credit card bills and loans amounting to $20,000 or more, read this.",rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title used absolute language. For example: ""Say Goodbye to Your Credit Card Debt By Doing This"". To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",209683431,4032737039,http://cdn.taboola.com/libtrc/static/thumbnails/4c3acfa351ae085af2b65bdbf80e2f40.png,Invest for Potential 8% Dividend,Limited Time opportunity: 8% dividend with unlisted preferred stock,approved,(null),(null),(null)
Health Claims,201202737,3945289346,http://cdn.taboola.com/libtrc/static/thumbnails/STABLE_DIFFUSION/ESD/be9d6e7e-42bf-4440-a9df-a5e4a433b903__yNn0xImT.jpg,Forbes: Say Goodbye to Your Credit Card Debt By Doing This,"If you’re feeling overwhelmed by credit card bills and loans amounting to $20,000 or more, read this.",rejected,rejected,"We found the title misrepresented the product/service or content in the ad. The title used absolute language. For example: ""Say Goodbye to Your Credit Card Debt By Doing This"". To improve your title, consider rewriting it or replacing it with one that uses more reasonable claims or submit documentation verifying the claims made.",151185230,3722512104,http://cdn.taboola.com/libtrc/static/thumbnails/521e70d2ab1b87b1d995764f270b5c44.jpg,Free Real-Time Signals: Act Quickly!,"Seize Opportunities: All Asset Signals! Diversify Portfolio. Forex, Stocks, Indices, Commodities.",approved,(null),(null),(null)
